feature,importance
d_num,1112
rolling_mean_7,1079
demand,999
rolling_std_7,699
demand_momentum,662
price_momentum,655
lag_84,638
month,609
lag_56,604
lag_14,585
lag_28,566
avg_category_price,540
wm_yr_wk,528
rolling_std_56,517
store_id,494
lag_7,481
rolling_price_28,464
rolling_std_28,437
rolling_mean_56,429
rolling_mean_28,396
month_sin,362
wday,354
month_cos,330
weekday,311
snap_CA,185
weekday_cos,120
event_name_1,117
snap_TX,115
snap_WI,112
price_change_pct,107
weekday_sin,98
event_type_1,93
snap_active,68
year,66
cat_id,34
event_name_2,20
is_event,12
is_weekend,2
event_type_2,0
days_since_start,0
weeks_since_start,0
quarter,0
